file,mask
/positive_patches/0.png,/positive_masks/0.png
/positive_patches/1.png,/positive_masks/1.png
/positive_patches/2.png,/positive_masks/2.png
/positive_patches/3.png,/positive_masks/3.png
/positive_patches/4.png,/positive_masks/4.png
/positive_patches/5.png,/positive_masks/5.png
/positive_patches/6.png,/positive_masks/6.png
/positive_patches/7.png,/positive_masks/7.png
/positive_patches/8.png,/positive_masks/8.png
/positive_patches/9.png,/positive_masks/9.png
/positive_patches/10.png,/positive_masks/10.png
/positive_patches/11.png,/positive_masks/11.png
/positive_patches/12.png,/positive_masks/12.png
/positive_patches/13.png,/positive_masks/13.png
/positive_patches/14.png,/positive_masks/14.png
/positive_patches/15.png,/positive_masks/15.png
/positive_patches/16.png,/positive_masks/16.png
/positive_patches/17.png,/positive_masks/17.png
/positive_patches/18.png,/positive_masks/18.png
/positive_patches/19.png,/positive_masks/19.png
/positive_patches/20.png,/positive_masks/20.png
/positive_patches/21.png,/positive_masks/21.png
/positive_patches/22.png,/positive_masks/22.png
/positive_patches/23.png,/positive_masks/23.png
/positive_patches/24.png,/positive_masks/24.png
/positive_patches/25.png,/positive_masks/25.png
/positive_patches/26.png,/positive_masks/26.png
/positive_patches/27.png,/positive_masks/27.png
/positive_patches/28.png,/positive_masks/28.png
/positive_patches/29.png,/positive_masks/29.png
/positive_patches/30.png,/positive_masks/30.png
/positive_patches/31.png,/positive_masks/31.png
/positive_patches/32.png,/positive_masks/32.png
/positive_patches/33.png,/positive_masks/33.png
/positive_patches/34.png,/positive_masks/34.png
/positive_patches/35.png,/positive_masks/35.png
/positive_patches/36.png,/positive_masks/36.png
/positive_patches/37.png,/positive_masks/37.png
/positive_patches/38.png,/positive_masks/38.png
/positive_patches/39.png,/positive_masks/39.png
/positive_patches/40.png,/positive_masks/40.png
/positive_patches/41.png,/positive_masks/41.png
/positive_patches/42.png,/positive_masks/42.png
/positive_patches/43.png,/positive_masks/43.png
/positive_patches/44.png,/positive_masks/44.png
/positive_patches/45.png,/positive_masks/45.png
/positive_patches/46.png,/positive_masks/46.png
/positive_patches/47.png,/positive_masks/47.png
/positive_patches/48.png,/positive_masks/48.png
/positive_patches/49.png,/positive_masks/49.png
/positive_patches/50.png,/positive_masks/50.png
/positive_patches/51.png,/positive_masks/51.png
/positive_patches/52.png,/positive_masks/52.png
/positive_patches/53.png,/positive_masks/53.png
/positive_patches/54.png,/positive_masks/54.png
/positive_patches/55.png,/positive_masks/55.png
/positive_patches/56.png,/positive_masks/56.png
/positive_patches/57.png,/positive_masks/57.png
/positive_patches/58.png,/positive_masks/58.png
/positive_patches/59.png,/positive_masks/59.png
/positive_patches/60.png,/positive_masks/60.png
/positive_patches/61.png,/positive_masks/61.png
/positive_patches/62.png,/positive_masks/62.png
/positive_patches/63.png,/positive_masks/63.png
/positive_patches/64.png,/positive_masks/64.png
/positive_patches/65.png,/positive_masks/65.png
/positive_patches/66.png,/positive_masks/66.png
/positive_patches/67.png,/positive_masks/67.png
/positive_patches/68.png,/positive_masks/68.png
/positive_patches/69.png,/positive_masks/69.png
/positive_patches/70.png,/positive_masks/70.png
/positive_patches/71.png,/positive_masks/71.png
/positive_patches/72.png,/positive_masks/72.png
/positive_patches/73.png,/positive_masks/73.png
/positive_patches/74.png,/positive_masks/74.png
/positive_patches/75.png,/positive_masks/75.png
/positive_patches/76.png,/positive_masks/76.png
/positive_patches/77.png,/positive_masks/77.png
/positive_patches/78.png,/positive_masks/78.png
/positive_patches/79.png,/positive_masks/79.png
/positive_patches/80.png,/positive_masks/80.png
/positive_patches/81.png,/positive_masks/81.png
/positive_patches/82.png,/positive_masks/82.png
/positive_patches/83.png,/positive_masks/83.png
/positive_patches/84.png,/positive_masks/84.png
/positive_patches/85.png,/positive_masks/85.png
/positive_patches/86.png,/positive_masks/86.png
/positive_patches/87.png,/positive_masks/87.png
/positive_patches/88.png,/positive_masks/88.png
/positive_patches/89.png,/positive_masks/89.png
/positive_patches/90.png,/positive_masks/90.png
/positive_patches/91.png,/positive_masks/91.png
/positive_patches/92.png,/positive_masks/92.png
/positive_patches/93.png,/positive_masks/93.png
/positive_patches/94.png,/positive_masks/94.png
/positive_patches/95.png,/positive_masks/95.png
/positive_patches/96.png,/positive_masks/96.png
/positive_patches/97.png,/positive_masks/97.png
/positive_patches/98.png,/positive_masks/98.png
/positive_patches/99.png,/positive_masks/99.png
/positive_patches/100.png,/positive_masks/100.png
/positive_patches/101.png,/positive_masks/101.png
/positive_patches/102.png,/positive_masks/102.png
/positive_patches/103.png,/positive_masks/103.png
/positive_patches/104.png,/positive_masks/104.png
/positive_patches/105.png,/positive_masks/105.png
/positive_patches/106.png,/positive_masks/106.png
/positive_patches/107.png,/positive_masks/107.png
/positive_patches/108.png,/positive_masks/108.png
/positive_patches/109.png,/positive_masks/109.png
/positive_patches/110.png,/positive_masks/110.png
/positive_patches/111.png,/positive_masks/111.png
/positive_patches/112.png,/positive_masks/112.png
/positive_patches/113.png,/positive_masks/113.png
/positive_patches/114.png,/positive_masks/114.png
/positive_patches/115.png,/positive_masks/115.png
/positive_patches/116.png,/positive_masks/116.png
/positive_patches/117.png,/positive_masks/117.png
/positive_patches/118.png,/positive_masks/118.png
/positive_patches/119.png,/positive_masks/119.png
/positive_patches/120.png,/positive_masks/120.png
